系所名稱,作者(外文),論文名稱(外文),指導教授(外文),出版年,外文關鍵詞,摘要(外文)
NTHUIEEM,"Chiou,Jr-Yi",A Robust Technical Service Platform Planning Based on Company Competitive Advantage and Future Market Trend: A Case Study of IC Foundry,"Chiu,Ming-Chuan",103,"Technical Service Platform Design
Technology Forecasting
Radial Basis Function (RBF)
Fuzzy Weights
3-Dimension Integrated Circuit (3D-IC)","Developing a unique competitive advantage simultaneously complying with future trends has emerged as a strategy for obtaining competitive advantage in the global marketplace. Technical service platform design can improve customer satisfaction by integrating diversified products and technologies. Prior studies have alluded to developing a framework of technical service platforms and validated methodologies. This finding motivated our research. Hence, we proposed a multi-step approach to organize technical service platforms based on corporate strength while incorporating technological capability during platform development. A case study referencing a company developing 3-Dimension Integrated Circuitry (3D-IC) for the semiconductor industry was presented to demonstrate its advantages. Six alternatives were evaluated to ensure the compliance of our research with market demands. The outcomes presented that the development priorities of this company could be platforms of logic IC, analog IC and memory IC because these platforms can be effectively developed from core competences. In addition, this company also had capability to provide services covering IC design, 3D stacking & assembly, and technical consulting to both upstream customers and downstream partners and this was one of developing strategy. According to our method, enterprises can address existed and potential customer requirements, develop more innovative services to meet different market segments and achieve economies of scale. Decision makers can determine feasible alternatives and scenario analysis can support decision makers to provide solutions for all future situations under uncertainties. Consequently, company strength can be extended and remain invincible in the future through integration of technical service platform design and technology forecasting."
NTHUIEEM,"Lin, Sheng Chun",Pricing Strategies for Recycling System by Using Bi-level Programming：an Application of Disposed Plastic Container in Taiwan.,"Wen, Ue Pyng",103,"Bi-level programming
Efficient solution
Plastic recycling industry
Collaboration","In recent years, technology starts to make advance in new electronic products. But, large amounts of electronic waste have an impact on environment gradually which leads to many countries begin to emphasize on reuse of resources. On the other hand, Taiwan government also actively establishes environmental regulations to encourage consumers buying remanufactured goods and promote enterprises to build up the green design, green production and remanufacture.
In the traditional supply chain of renewable resources, it consists of the government, recyclers and manufacturers. In previous research, the government focuses on the payment of subsidies and administrative costs, recyclers are focused on the improvement of recovery rate and maximize the benefits, manufacturers pay an attention to the supply chain’s collaboration and its own profits as a key point. Some studies investigate the relationship between them. However, recycling and purchasing recycled products by consumers are also involved that directly affects manufactures’ will of buying secondary materials products and benefit of recyclers. Consumers receive recycling incentives for recycling, which directly affect the level of consumers’ recycling behavior. The spending of recycling incentives provides the source of waste materials, while causes a higher cost.
In this study, we consider that consumers in the supply chain and the competition of other manufacturers are included to explore the main manufacturers’ will to buy the secondary materials, as well as that the price recyclers are willing to provide to consumers of the recycled waste materials, then recyclers will decide selling the resources to main manufactures or to other manufacturers to reach better benefits. Furthermore, the government plays a role of supporting and coordination the manufacturer and recycler by subsidies. 
In order to find the optimal decision, this study constructs a bi-level programming (BLP) model. The hierarchical and interactive nature between the two parties can be formulated by BLP to investigate two different levels of decision-making problems. In this study, we set the manufacturer as the higher-level decision maker and the recyclers as the lower-level decision maker. Higher-level decision maker adjusts the price of secondary material to achieve maximum benefit. On the other hand, lower-level decision maker maximizes profits through changing the secondary materials sold volume and the price of recycling incentives. In addition, this research will use PP and PE plastic containers as numerical examples in the practice to illustrate how recyclers and re-manufacturers to implement of green production and resource recycling effectively.
"
NTHUIEEM,"Huang, Li-Ju",Apply Value Engineering to Enhance New Product Competitiveness:A Case Study of Wireless SiP Products,"Chiu, Ming-Chuan",103,"System in Package (SiP)
Product Life Cycle (PLC)
Value Engineer (VE)
In-Depth Interview
Analytic Hierarchy Process (AHP)","Semiconductor companies in Taiwan confront the rigorous competition of competitors from South Korea, Mainland China and Southeast Asia, they constantly faced severe challenges on innovative research capability, product quality improvement and production cost down in terms of new product development. New products have to survive in the price competition and replacement of other new products. Product Life Cycle (PLC) might early fall into maturity stage or decline stage if it lacked effective planning. Therefore, the purpose of this research is to significantly enhance the competitiveness of products and companies in new product development if the relevant product features, quality issues, production patterns and overall cost control could be early considered to figure out the best solution before market intorduction.
This research investigates how a company under limited resources and technology capability can develop new products with a ase study on SiP product development in wireless communications industry. We firstly identify main features or minor features of key components in SiP product by Value Engineer (VE). Then, we conduct an in-depth interview and adopt the advice of experts to evaluate the cost and quality issues of key components and give weights to all of key components with Analytical Hierarchical Process (AHP). Finally, we propose an optimum solution in SiP new product development and which could effectively streamline production processes, improve process stability and production yield to achieve a cost reduction of 5% to main features, 15% to minor features, 8.5% in packaging process, and 33% in testing process. This research would be applied to review new product to enhance the competitiveness and accurately grasp the benefit of new product before mass production. It could be a reference guideline for decision makers and designers as a decision support system.
"
NTHUIEEM,"Chang, Yi-Jie",An Empirical Study of Health Management Motion Sport Game Using Logistic Regression Model to Measure Effective Exercise and Service Recovery Design,"Chiu, Ming-Chuan",103,"Service Recovery
Logistic Regression
Kinect
Ratings of Perceived Exertion","Products, customers and service are intimately connected, even in the realm of video sports games. As the media reminds us, the lack of sufficient exercise has become a crucial health concern, even though most people know that regular moderate exercise can promote good physical conditions and help prevent disease. Therefore this research investigates Kinect Sports, an interactive technology tool for health management (product) that involves a simulated sports environment for its users (customers). Kinect’s goal is to help users achieve an effective exercise level that provides them with a high level of satisfaction (service). However, many Kinect users are unaware of whether or not they achieve an effective exercise level. Therefore, this study presents a logistic regression model to detect the effectiveness of exercise and to provide sport service recovery suggestions when effective exercise is not achieved. An empirical study demonstrates the proposed methodology. We collected and analyzed both objective physiological data (e.g., heart rate, blood pressure) and subjective psychological data (e.g., ratings of perceived exertion). Results show the effectiveness of our model which can help users determine the effectiveness of their individual exercise with Kinect, generating uniquely suited guidelines in accordance with different levels of exercise effectiveness."
NTHUIEEM,"Chang, Meng-Wei",Pricing Decision Making under Competition in Green Manufacturing,"Wen, Ue-Pyng",103,"Environmental awareness
Service
Pricing strategies
Stckelberg game","Due to the public environmental awareness arising and legislative requirements, firms are forced to adopt sustainable supply chain management. Green supply chain management (GSCM) is emerged as a systematic solution for firms to maintain competiveness. Besides, service-providing is another strategy which is commonly adopt by manufacturers to improve their competitiveness. Numerous researches have investigated the effects of service and consumer environmental awareness on supply chains, while few studies have discussed the intersections between service and consumer environmental awareness. A supply chain consisting of two manufacturers and a retailer is considered in this thesis. Assume that the first manufacturer is an original equipment manufacturer (OEM) that produces new product, while the second manufacturer is the remanufacturer producing refurbished products. Both manufacturers sell products to a common retailer and provide service to their end consumers. Consumer demand is influenced by three factors: (1) retail price, (2) service and (3) the efforts of eco-friendly operations. Hence, we provide a Stackelberg game model which is used to represent the decision-making of manufacturers and the retailer. The objective is to find optimal pricing policies to maximize their profits of all members in this supply chain. We also derive the corresponding existence and uniqueness conditions for equilibrium solutions. Furthermore, we extend the proposed model and take the consumer stochastic demand as well as the costs of goods shortage and salvage value of unsold products into account. Finally, numerical examples are provided and demonstrate the results as follows: (1) manufacturers can improve their profit by increasing the service level or eco-friendly level; (2) manufacturers’ profit may not increase with the consumer green awareness; and (3) manufacturers should adopt different production strategies under different situation to maximize their own profit when facing demand uncertainty."
NTHUIEEM,"Hsu, Jung-Chang",A study of Information Technology used in production improvement: A case of a manufacturing company for wireless communication products,"Chen, Kuang-Chen",103,"Radio Frequency
Business Process Improvement
Information Technology","Today’s wireless communication(Radio Frequency, RF) related products such as portable computer, mobile phone, satellite and digital home products become more and more popular, it makes the market size and business opportunities more growing, and competitive than ever. In order to enhance the competitiveness, manufacturers not only continue to introduce new product function, appearance and materials used in product design, but also to pursue quality, enhance service, improve efficiency and avoid the mistakes in manufacturing to survive.
This thesis used information technology and business process improvement techniques to solve the problem of the shop floor. In the case of Surface Mount Technology(SMT) process, the company tried to solve the wrong parts problem with her self-developed system. In another case of using wrong program problem in the testing process, the case company used self-developed business process improvement techniques to review every step of the workflow in detail and identified the steps in which the problems occurred, analyzed the root cause with the tool of Quality Control, then looked for solutions for the problems and by use of information technology to redesign the workflow eventually.
This research takes a case study on a manufacturing company’s improvement of shop floor. With literature review, introduction to the manufacturing company, the case study focuses on how the manufacturing company use the self-developed business process improvement techniques and information technology. There are three conclusions in this research, including : (1)In using Information Technology to improve factory operation, the key to success is to hit the point of business need (2)Good discipline in using Information Technology is required to get the operation done efficiently (3)Information Technology enables process redesign and allows the organization to do production improvement more efficiently.
"
NTHUIEEM,"Yang, Sheng-Ting",Integrated Information Service Platform: Applications of Information Visualization and Intelligent Analysis to Big Data,"Liao, Chung-Shou",103,"Big Data
services science
information platform","With the rapid development of the Internet, mobile devices and social media, the available data around the world have grown explosively. IDC (International Data Corporation) estimates that the amount of data will increase by 10 times from 2013 to 2020; precisely, the total amount may grow from 4.4 trillion gigabytes to 44 trillion gigabytes. The explosion causes the analysis and applications of Big Data to become an important research issue. If the Big Data can be appropriately used, it will bring new values and innovations for life as well as a new trend of information systems and services.
This paper attempts to incorporate the functions of information visualization and intelligent analysis of Big Data into the concept of service platforms. We build an integrated information service platform to provide diverse services for users, and promote the development of cloud service applications. This platform provides three kinds of main services: data filtering, data visualization and intelligent analysis, which help users represent the data in a faster and more effective way.
In addition, we demonstrate the usefulness of our platform by testing medical disease data as case studies. The result shows that our platform can effectively help users to retrieve valuable information from the vast experimental data. More specifically, to the visualization tool helps identify imported diseases and its location areas. Moreover, the intelligent analysis detects new test reagents and the antibiotic resistance genes for drug development. This prototype can thus offer data analysis service on Big Data via this user-friendly interface. Finally, we collaborated with Chang Gung Molecular Medicine Research Center by applying our function modules－automatic visualization and intelligence analysis tools to their Targeted Sequencing System. Therefore, our platform can successfully support the construction of other information service systems. In the future, we expect that the platform can provide an integrated service of data processing, data analysis, and data visualization on Big Data in other research fields."
NTHUIEEM,"Lin, Yu-Ting",Applying MTS to Cardiopulmonary Resuscitation Prediction,"Su, Chao-Ton",103,"cardio-pulmonary resuscitation
clinical alert system
in-hospital cardiac arrest
imbalanced data
MTS
classification
feature selection","Safety of inpatients is an important index for service quality of hospital. In-Hospital Cardiac Arrest (IHCA) is a common and high risk problem for medical institutions. The effect of Cardio-Pulmonary Resuscitation (CPR) is related to if it could save dying patients immediately and if it could increase the survival rate of patients given first aid afterward. It could discover unstable patients early and provide them medical care if we combine clinical alert system (CAS) and residents' working shifts; also, it could reduce IHCA event. Because most of the data in medical field is imbalanced data type; in addition, there is a better robustness for imbalanced data in MTS, this paper aims to analyze the data of patients in ordinary ward of case study hospital by MTS method in order to build up CAS for IHCA. After we selected the system features: diastolic blood pressure, Temperature, Pulse rate and Respiratory rate, we used the Mahalanobis-distance to be the alert standard of system. Moreover, three commonly used classification method: artificial neural network, decision tree and logistic regression, are implemented using the same data set. The result showed that there is a better classification rate in MTS for imbalanced data type."
NTHUIEEM,"Ting, I-An",Simplified Swarm Optimization for Resource Allocation in Line Balancing of Semiconductor Manufacturing,"Yeh, Wei-Chang",103,"Photolithography,
Semiconductor Process
Soft Computing
Load Balancing
Parallel Machines","Semiconductor Process plays an important role in competitive industries in Taiwan. Photolithography is the most complicated and key part in IC process flow, taking up about 40%~50% above all process. It is necessary to allocate mask, machine and wafer in the process flow appropriately. In order to reach efficiency and increase rate of equipment utilization, reducing cycle time(C/T) of wafer on each machine during photolithography is expected.
It's capable of install coater, exposure and developer in series on the same machine to shorten C/T. However, there are still many methods to keep cutting down C/T .Except for adding parallel machine, running the existing parallel machine efficiently is also required. In other words, it makes every machine reach the best in the loading and reduce C/T on the restrictions of mask by transferring goods. It does works, and wafers are produced on time as expected.
This research collected information of an IC manufactory in Science Park to set up a model of photolithography considering all the constraints on process. We found out a better wafer transfer dispatching solution through SSO algorithms and MM-SSO, and establishing a complete arithmetic logic applied to photolithography dispatching system. After testing and debugging, the logical operation can be applied to the follow-up study and demonstration in pratice. It's able to downsize and save time about 70% by algorithms automatic dispatching.
"
NTHUIEEM,Novie Canggang,Investigation on Factors Affect Nursing Performance in Intensive Care Unit in a Hospital,"Wang, Eric",103,,"ICU is defined as a place that provides health care service for critically ill patients who needs exigent treatment to strengthen health care with support from surveillance equipment for patients. ICU nurses become one of the important roles in providing health care in ICU. ICU nurses have to contact with death, critical situations of patients, facing large of pressure in performing their job in ICU. But they always demanded to provide the best performance of care that result in higher quality care in monitoring patients for long hours. Patient safety has played as an important role in health care world. This study was covered three parts of purposes. First is to determine the work-related factors that perceived by ICU nurses which could affect their nursing working performance. Second is to identify the impact of the work-related factors to the nurse while they performing their duties in ICU. Third is to provide suggestions in order to improving the design effort and quality care in ICU. The result showed that there were 9 factors which could affect nurse while they progress their duties in ICU including social interaction, ICU occurrence, organizational issues, discussions, decision making standard, motivation, education and training, verification and source of stress. The impact of the identify factors include all the action that related to their working process such as mood, speed, effectiveness, motivation, workload, spirit, etc. Job satisfaction for level seven was also found for 36% participants in this study. This study suggest that there were need some adjustment in staffing, working shift and hours, work scheduling and others for helping participants cope and improve in their quality of care."
